0.2113 3.00866 
0.24 3.03778
0.27 3.01782 
0.3 3.03711
0.33 3.02444 
0.36 3.04948 
0.4 3.02743 
0.43 3.00998 
0.46 3.05422 
0.5 3.04339 
0.53 3.02845
0.56 3.02788 
0.6 2.99446 
0.7 3.0312
0.8 3.01875
0.9 3.03768
1.0 3.04022 
1.1 3.02918 
1.2 3.02844 
1.3 3.02744 
1.4 3.0092 
1.5 3.04525 
1.6 3.05674
1.7 2.99412 
1.8 3.01907 
1.9 3.04937
2.0 2.98751 
2.1 3.03847
2.2 3.05151
2.3 3.01446
2.4 3.01396 
2.5 3.02216 
2.6 3.05673 
2.7 3.05294
3.3 3.06988 
3.4 3.06078 
3.7 3.04286 
4.0 3.01752 
5.0 3.06069 
6.0 3.05138 
7.0 3.04159 
8.0 3.04877 
8.5 3.1025 
13.0 3.0405 
17.0 3.02412 
21.0 3.14455 
25.0 3.0343 
29.0 3.23765 
33.0 3.14748 
37.0 3.25783 
41.0 3.36524 
45.0 3.52974 
49.0 3.45728 
53.0 3.63117 
57.0 3.61274 
58.0 3.44206 
